horizon,reservation_wages,pr_ext,periods_ui_compensation,length_extension,true_pr_ext
0,0.799020493917459,extended,34,25,
1,0.8197849567273705,extended,34,25,
2,0.8357514288761587,extended,34,25,
3,0.8483071397823798,extended,34,25,
4,0.8583508022375599,extended,34,25,
5,0.8664928229782076,extended,34,25,
6,0.8731635864493761,extended,34,25,
7,0.8786758837528629,extended,34,25,
8,0.8832627972470383,extended,34,25,
9,0.8871016808951376,extended,34,25,
10,0.8903298869371377,extended,34,25,
11,0.8930553967172337,extended,34,25,
12,0.8953641978825663,extended,34,25,
13,0.8973255228735212,extended,34,25,
14,0.898995645269936,extended,34,25,
15,0.9004206814716195,extended,34,25,
16,0.9016386923401853,extended,34,25,
17,0.9026812830941596,extended,34,25,
18,0.903574837572869,extended,34,25,
19,0.9043414819898703,extended,34,25,
20,0.9049998457424494,extended,34,25,
21,0.9055656679969051,extended,34,25,
22,0.9060522856707963,extended,34,25,
23,0.9064710291952282,extended,34,25,
24,0.9068315458356945,extended,34,25,
25,0.9071420655681316,extended,34,25,
26,0.9074096210033507,extended,34,25,
27,0.907640230257309,extended,34,25,
28,0.9078390497210548,extended,34,25,
29,0.908010502214076,extended,34,25,
30,0.9081583848820756,extended,34,25,
31,0.9082859603348424,extended,34,25,
32,0.9083960338469816,extended,34,25,
33,0.908491018916563,extended,34,25,
34,0.908572993059549,extended,34,25,
0,0.8575418839085815,0.3,10,25,no
1,0.8783063467184931,0.3,10,25,no
2,0.8903601448741589,0.3,10,25,no
3,0.8975084077206533,0.3,10,25,no
4,0.9018092447895787,0.3,10,25,no
5,0.9044266847994922,0.3,10,25,no
6,0.9060369224033142,0.3,10,25,no
7,0.9070392739200286,0.3,10,25,no
8,0.9076720348829413,0.3,10,25,no
9,0.9080784297188301,0.3,10,25,no
10,0.908345011027627,0.3,10,25,no
0,0.8595032972408441,0.32105263157894737,10,25,no
1,0.8802677600507558,0.32105263157894737,10,25,no
2,0.8919922429405531,0.32105263157894737,10,25,no
3,0.8987572477988313,0.32105263157894737,10,25,no
4,0.902719196426958,0.32105263157894737,10,25,no
5,0.9050684722200781,0.32105263157894737,10,25,no
6,0.9064790855133336,0.32105263157894737,10,25,no
7,0.9073385391679558,0.32105263157894737,10,25,no
8,0.9078717771046038,0.32105263157894737,10,25,no
9,0.9082102554476018,0.32105263157894737,10,25,no
10,0.908431212849008,0.32105263157894737,10,25,no
0,0.8613240081712341,0.34210526315789475,10,25,no
1,0.8820884709811456,0.34210526315789475,10,25,no
2,0.8934801834911875,0.34210526315789475,10,25,no
