probs_perceived, stopping_time, accepted_wage, welfare, relative_welfare
2.999999999999999889e-01,9.435254069999999160e+00,9.511492742280964752e-01,1.825616516545722945e+01,-7.620747567438357351e-05
3.210526315789473673e-01,9.437964581999999325e+00,9.511606381539113864e-01,1.825616944246884188e+01,-5.277972776607242622e-05
3.421052631578947456e-01,9.440045879999999556e+00,9.511694117355947720e-01,1.825617307798340505e+01,-3.286584245865142861e-05
3.631578947368421240e-01,9.441642350000000405e+00,9.511761067748506493e-01,1.825617511629295464e+01,-2.170080326546752758e-05
3.842105263157894468e-01,9.442860696000000331e+00,9.511812144711364603e-01,1.825617629850933099e+01,-1.522509784912529085e-05
4.052631578947368252e-01,9.443806904000000557e+00,9.511851563533245679e-01,1.825617682299611033e+01,-1.235217040873592964e-05
4.263157894736842035e-01,9.444531480000000201e+00,9.511882404104339273e-01,1.825617765408511772e+01,-7.799799373042759498e-06
4.473684210526315264e-01,9.445077208000000724e+00,9.511905654912270469e-01,1.825617828661414421e+01,-4.335059988758160898e-06
4.684210526315789602e-01,9.445494769999999818e+00,9.511923474711138082e-01,1.825617880476532662e+01,-1.496836399272893914e-06
4.894736842105262831e-01,9.445815914000000646e+00,9.511937189422859928e-01,1.825617888499009567e+01,-1.057397402970394751e-06
5.000000000000000000e-01,9.445945408000000043e+00,9.511942871991551085e-01,1.825617907803045981e+01,0.000000000000000000e+00
5.105263157894737169e-01,9.446057065999999836e+00,9.511947745832085577e-01,1.825617915956354409e+01,4.466054193130730710e-07
5.315789473684210398e-01,9.446246090000000706e+00,9.511955835935821391e-01,1.825617907881774116e+01,4.312417090091003047e-09
5.526315789473683626e-01,9.446392228000000557e+00,9.511962060900712723e-01,1.825617895929325130e+01,-6.503946270441929300e-07
5.736842105263157965e-01,9.446505000000000152e+00,9.511967097949521888e-01,1.825617900921792724e+01,-3.769273559939279039e-07
5.947368421052631193e-01,9.446593496000000201e+00,9.511970961834892435e-01,1.825617887653822535e+01,-1.103693347825895898e-06
6.157894736842104422e-01,9.446661790000000281e+00,9.511974100121962650e-01,1.825617888471027328e+01,-1.058930165775961996e-06
6.368421052631578760e-01,9.446719032000000738e+00,9.511976765203598028e-01,1.825617879507775854e+01,-1.549900996433706268e-06
6.578947368421053099e-01,9.446765281999999431e+00,9.511978848807353115e-01,1.825617862654872781e+01,-2.473035187744443419e-06
6.789473684210526327e-01,9.446803254000000649e+00,9.511980554777775820e-01,1.825617843945308749e+01,-3.497869782709273068e-06
6.999999999999999556e-01,9.446834073999999859e+00,9.511981954900960989e-01,1.825617827847071339e+01,-4.379666429521478221e-06
