horizon,reservation_wages,length_ext,periods_ui_compensation,length_extension,pr_ext,true_length_ext
0,0.799020493917459,extended,34,25,,
1,0.8197849567273705,extended,34,25,,
2,0.8357514288761587,extended,34,25,,
3,0.8483071397823798,extended,34,25,,
4,0.8583508022375599,extended,34,25,,
5,0.8664928229782076,extended,34,25,,
6,0.8731635864493761,extended,34,25,,
7,0.8786758837528629,extended,34,25,,
8,0.8832627972470383,extended,34,25,,
9,0.8871016808951376,extended,34,25,,
10,0.8903298869371377,extended,34,25,,
11,0.8930553967172337,extended,34,25,,
12,0.8953641978825663,extended,34,25,,
13,0.8973255228735212,extended,34,25,,
14,0.898995645269936,extended,34,25,,
15,0.9004206814716195,extended,34,25,,
16,0.9016386923401853,extended,34,25,,
17,0.9026812830941596,extended,34,25,,
18,0.903574837572869,extended,34,25,,
19,0.9043414819898703,extended,34,25,,
20,0.9049998457424494,extended,34,25,,
21,0.9055656679969051,extended,34,25,,
22,0.9060522856707963,extended,34,25,,
23,0.9064710291952282,extended,34,25,,
24,0.9068315458356945,extended,34,25,,
25,0.9071420655681316,extended,34,25,,
26,0.9074096210033507,extended,34,25,,
27,0.907640230257309,extended,34,25,,
28,0.9078390497210548,extended,34,25,,
29,0.908010502214076,extended,34,25,,
30,0.9081583848820756,extended,34,25,,
31,0.9082859603348424,extended,34,25,,
32,0.9083960338469816,extended,34,25,,
33,0.908491018916563,extended,34,25,,
34,0.908572993059549,extended,34,25,,
0,0.8667373231731754,,10,15,0.5,no
1,0.887501785983087,,10,15,0.5,no
2,0.896674216636244,,10,15,0.5,no
3,0.9010077361566486,,10,15,0.5,no
4,0.9032412522007023,,10,15,0.5,no
5,0.9045275161044457,,10,15,0.5,no
6,0.9053626783135076,,10,15,0.5,no
7,0.9059649807250241,,10,15,0.5,no
8,0.9064334571537978,,10,15,0.5,no
9,0.9068153686366078,,10,15,0.5,no
10,0.9071350973829198,,10,15,0.5,no
0,0.8676237453962352,,10,16,0.5,no
1,0.8883882082061467,,10,16,0.5,no
2,0.8974948636102813,,10,16,0.5,no
3,0.9017407484789706,,10,16,0.5,no
4,0.903884275329647,,10,16,0.5,no
5,0.9050864078155618,,10,16,0.5,no
6,0.905846189478273,,10,16,0.5,no
7,0.9063823406681986,,10,16,0.5,no
8,0.9067933607531098,,10,16,0.5,no
9,0.9071256178816332,,10,16,0.5,no
10,0.9074025338831564,,10,16,0.5,no
0,0.8683839608645508,,10,17,0.5,no
1,0.8891484236744625,,10,17,0.5,no
2,0.8981991221440072,,10,17,0.5,no
