length_ext_perceived, stopping_time, accepted_wage, welfare, relative_welfare
1.500000000000000000e+01,9.413318672000000831e+00,9.510585614913689145e-01,1.825612528806673396e+01,-2.946397682501711301e-04
1.600000000000000000e+01,9.419156067999999493e+00,9.510831613902229753e-01,1.825614151060128520e+01,-2.057792543253000872e-04
1.700000000000000000e+01,9.424152103999999142e+00,9.511042262743089060e-01,1.825615465971067053e+01,-1.337537262613430755e-04
1.800000000000000000e+01,9.428469147999999578e+00,9.511222990594995208e-01,1.825616345658853135e+01,-8.556797049807940425e-05
1.900000000000000000e+01,9.432202414000000701e+00,9.511377577959806429e-01,1.825616839342489683e+01,-5.852596820510314046e-05
2.000000000000000000e+01,9.435426853999999253e+00,9.511510608182873749e-01,1.825617229874000458e+01,-3.713422412898736980e-05
2.100000000000000000e+01,9.438184764000000726e+00,9.511624902534384640e-01,1.825617556964882837e+01,-1.921750228950358519e-05
2.200000000000000000e+01,9.440574279999999874e+00,9.511722680152993048e-01,1.825617680664152687e+01,-1.244175422687732180e-05
2.300000000000000000e+01,9.442631598000000182e+00,9.511807098527046422e-01,1.825617794913363667e+01,-6.183642364820940429e-06
2.400000000000000000e+01,9.444407392000000456e+00,9.511879882357003879e-01,1.825617851391729829e+01,-3.089984812465473851e-06
2.500000000000000000e+01,9.445945408000000043e+00,9.511942871991551085e-01,1.825617907803045981e+01,0.000000000000000000e+00
2.600000000000000000e+01,9.447280991999999600e+00,9.511996982067126849e-01,1.825617848486454164e+01,-3.249124125304092559e-06
2.700000000000000000e+01,9.448425840000000520e+00,9.512043732466413104e-01,1.825617878968916585e+01,-1.579417541197614128e-06
2.800000000000000000e+01,9.449420187999999499e+00,9.512083634866139725e-01,1.825617805132590377e+01,-5.623874255178407111e-06
2.900000000000000000e+01,9.450284679999999327e+00,9.512118716198458834e-01,1.825617784633268670e+01,-6.746744585228725555e-06
3.000000000000000000e+01,9.451024776000000571e+00,9.512148520949709196e-01,1.825617744666906006e+01,-8.935941042675921153e-06
3.100000000000000000e+01,9.451667375999999621e+00,9.512174525882849396e-01,1.825617722111670815e+01,-1.017142603476628437e-05
3.200000000000000000e+01,9.452217665999999241e+00,9.512196763347708917e-01,1.825617682760596949e+01,-1.232691945185493410e-05
3.300000000000000000e+01,9.452688090000000543e+00,9.512215815712397049e-01,1.825617666605242206e+01,-1.321184475155945393e-05
3.400000000000000000e+01,9.453094112000000493e+00,9.512232132697651110e-01,1.825617621944238778e+01,-1.565819474080853979e-05
3.500000000000000000e+01,9.453446175999999923e+00,9.512246186627975053e-01,1.825617593332615129e+01,-1.722542430915297018e-05
